ID,typeName,30DayPrice,30DayVolume,30DayISKVolume,7DayPrice,7DayVolume,7DayISKVolume
648,Badger,,,,,,
645,Dominix,,,,,,
649,Tayra,,,,,,
650,Nereus,,,,,,
651,Hoarder,,,,,,
652,Mammoth,,,,,,
653,Wreathe,,,,,,
644,Typhoon,,,,,,
654,Kryos,,,,,,
655,Epithal,,,,,,
656,Miasmos,,,,,,
657,Iteron Mark V,,,,,,
671,Erebus,,,,,,
672,Caldari Shuttle,,,,,,
643,Armageddon,,,,,,
642,Apocalypse,,,,,,
641,Megathron,,,,,,
1182,Auto Targeting System I,,,,,,
1183,Small Armor Repairer II,,,,,,
1185,Small Cap Battery I,,,,,,
1190,Small Remote Capacitor Transmitter II,,,,,,
1192,Basic' Overdrive Injector System,,,,,,
1193,Basic' EM Coating,,,,,,
15314,Cormack's Modified Co-Processor,,,,,,
15316,Galeptos Medicine,,,,,,
15300,Brynn's Modified Reactor Control Unit,,,,,,
15312,Setele's Modified Co-Processor,,,,,,
1195,Cap Recharger I,,,,,,
15308,Brynn's Modified Co-Processor,,,,,,
15306,Cormack's Modified Reactor Control Unit,,,,,,
15302,Tuvan's Modified Reactor Control Unit,,,,,,
15310,Tuvan's Modified Co-Processor,,,,,,
15304,Setele's Modified Reactor Control Unit,,,,,,
15317,Genetically Enhanced Livestock,,,,,,
15318,Top-Secret Design Documents,,,,,,
15319,Large Special Delivery,,,,,,
15331,Metal Scraps,,,,,,
15353,Research Tools,,,,,,
15298,Cormack's Modified Power Diagnostic System,,,,,,
15410,Neophite,,,,,,
15416,Naiyon's Modified Magnetic Field Stabilizer,,,,,,
15437,Makur's Modified Capacitor Power Relay,,,,,,
15447,Shaqil's Modified Gyrostabilizer,,,,,,
15457,Standard X-Instinct Booster,,,,,,
15458,Improved X-Instinct Booster,,,,,,
15459,Strong X-Instinct Booster,,,,,,
15460,Standard Frentix Booster,,,,,,
15461,Improved Frentix Booster,,,,,,
15462,Strong Frentix Booster,,,,,,
15463,Standard Mindflood Booster,,,,,,
15464,Improved Mindflood Booster,,,,,,
15465,Strong Mindflood Booster,,,,,,
15466,Standard Drop Booster,,,,,,
1197,EM Coating I,,,,,,
15477,Improved Drop Booster,,,,,,
15296,Setele's Modified Power Diagnostic System,,,,,,
15478,Strong Drop Booster,,,,,,
15479,Standard Exile Booster,,,,,,
640,Scorpion,,,,,,
15480,Improved Exile Booster,,,,,,
15294,Tuvan's Modified Power Diagnostic System,,,,,,
15508,Vespa I,,,,,,
1198,EM Coating II,,,,,,
15292,Brynn's Modified Power Diagnostic System,,,,,,
15510,Valkyrie I,,,,,,
15587,Federation Navy Midshipman Insignia I,,,,,,
15588,Federation Navy Midshipman Insignia II,,,,,,
15589,Federation Navy Midshipman Insignia III,,,,,,
15290,Cormack's Modified Tracking Computer,,,,,,
15590,Federation Navy Sergeant Insignia I,,,,,,
1201,Wasp I,,,,,,
15591,Federation Navy Sergeant Major Insignia I,,,,,,
15592,Federation Navy Fleet Captain Insignia I,,,,,,
15593,Federation Navy Fleet Major Insignia I,,,,,,
15594,Federation Navy Fleet Colonel Insignia I,,,,,,
15596,Caldari Navy Midshipman Insignia I,,,,,,
15597,Caldari Navy Midshipman Insignia II,,,,,,
1202,Civilian Mining Drone,,,,,,
15598,Caldari Navy Midshipman Insignia III,,,,,,
15599,Caldari Navy Captain Insignia I,,,,,,
15600,Caldari Navy Captain Insignia II,,,,,,
15601,Caldari Navy Captain Insignia III,,,,,,
15602,Caldari Navy Commodore Insignia I,,,,,,
15288,Setele's Modified Tracking Computer,,,,,,
15604,Caldari Navy Admiral Insignia I,,,,,,
15605,Caldari Navy Vice Admiral Insignia I,,,,,,
15607,Imperial Navy Midshipman Insignia I,,,,,,
15608,Imperial Navy Midshipman Insignia II,,,,,,
15609,Imperial Navy Midshipman Insignia III,,,,,,
15610,Imperial Navy Sergeant Insignia I,,,,,,
15611,Imperial Navy Sergeant Major Insignia I,,,,,,
15286,Tuvan's Modified Tracking Computer,,,,,,
15612,Imperial Navy Captain Insignia I,,,,,,
15613,Imperial Navy Major Insignia I,,,,,,
15614,Imperial Navy Colonel Insignia I,,,,,,
15284,Brynn's Modified Tracking Computer,,,,,,
15615,Imperial Navy General Insignia I,,,,,,
15617,Ammatar Navy Midshipman Insignia I,,,,,,
15618,Ammatar Navy Midshipman Insignia II,,,,,,
15619,Ammatar Navy Midshipman Insignia III,,,,,,
15620,Ammatar Navy Sergeant Insignia I,,,,,,
15282,Cormack's Modified Sensor Booster,,,,,,
15621,Ammatar Navy Sergeant Major Insignia I,,,,,,
15622,Ammatar Navy Captain Insignia I,,,,,,
15623,Ammatar Navy Major Insignia I,,,,,,
15625,Republic Fleet Midshipman Insignia I,,,,,,
15626,Republic Fleet Midshipman Insignia II,,,,,,
15627,Republic Fleet Midshipman Insignia III,,,,,,
15628,Republic Fleet Private Insignia I,,,,,,
15629,Republic Fleet Private Insignia II,,,,,,
15630,Republic Fleet Captain Insignia I,,,,,,
15631,Republic Fleet High Captain Insignia I,,,,,,
15632,Republic Fleet Commander Insignia I,,,,,,
15280,Setele's Modified Sensor Booster,,,,,,
15634,Imperial Navy Squad Leader Insignia,,,,,,
15635,Imperial Navy Raid Leader Insignia,,,,,,
15636,Imperial Navy Sergeant Elite Insignia,,,,,,
15637,Yeni Sarum's Insignia,,,,,,
15638,Terachi Tash-Murkon's Insignia,,,,,,
15639,Karzo Sarum's Insignia,,,,,,
15640,Ammatar Navy Squad Leader Insignia,,,,,,
15641,Ammatar Navy Raid Leader Insignia,,,,,,
15278,Tuvan's Modified Sensor Booster,,,,,,
15642,Ammatar Navy Sergeant Elite Insignia,,,,,,
15643,Ammatar Navy Fleet Commander Insignia,,,,,,
15644,Zerim Kurzon's Insignia,,,,,,
15645,Jerek Zuomi's Insignia,,,,,,
15646,Federation Navy Command Sergeant Major Insignia I,,,,,,
15276,Brynn's Modified Sensor Booster,,,,,,
15647,Federation Navy Squad Leader Insignia,,,,,,
15648,Federation Navy Raid Leader Insignia,,,,,,
15274,Cormack's Modified Explosive Armor Hardener,,,,,,
15228,Brynn's Modified Explosive Energized Membrane,,,,,,
15212,Brynn's Modified Thermal Energized Membrane,,,,,,
15268,Brynn's Modified Explosive Armor Hardener,,,,,,
15214,Tuvan's Modified Thermal Energized Membrane,,,,,,
15226,Cormack's Modified EM Energized Membrane,,,,,,
15218,Cormack's Modified Thermal Energized Membrane,,,,,,
15236,Brynn's Modified Kinetic Energized Membrane,,,,,,
15270,Tuvan's Modified Explosive Armor Hardener,,,,,,
15216,Setele's Modified Thermal Energized Membrane,,,,,,
15220,Brynn's Modified EM Energized Membrane,,,,,,
